Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.58691E+12,4/15/20 0:00,LTCUSD,41.15,41.15,41.15,41.15,0
1.58691E+12,4/14/20 23:00,LTCUSD,41.25,41.41,41.13,41.15,517.70892
1.5869E+12,4/14/20 22:00,LTCUSD,41.15,41.51,41.14,41.25,128.07169
1.5869E+12,4/14/20 21:00,LTCUSD,41.29,41.29,41.15,41.15,146.41144
1.58689E+12,4/14/20 20:00,LTCUSD,41.52,41.53,41.29,41.29,1.49883
1.58689E+12,4/14/20 19:00,LTCUSD,41.57,41.57,41.3,41.52,466.7031098
1.58689E+12,4/14/20 18:00,LTCUSD,41.62,41.62,41.53,41.57,43.14668
1.58688E+12,4/14/20 17:00,LTCUSD,41.79,41.87,41.58,41.62,366.3297833
1.58688E+12,4/14/20 16:00,LTCUSD,41.48,41.79,41.38,41.79,253.96181
1.58688E+12,4/14/20 15:00,LTCUSD,41.51,41.57,41.38,41.48,240.20659
1.58687E+12,4/14/20 14:00,LTCUSD,41.53,41.85,41.37,41.51,577.98765
1.58687E+12,4/14/20 13:00,LTCUSD,41.13,41.53,41.13,41.53,77.1755844
1.58687E+12,4/14/20 12:00,LTCUSD,41.1,41.15,40.97,41.13,231.38212
1.58686E+12,4/14/20 11:00,LTCUSD,41.14,41.15,41,41.1,73.28265
1.58686E+12,4/14/20 10:00,LTCUSD,41.1,41.27,41.1,41.14,22.89723
1.58685E+12,4/14/20 9:00,LTCUSD,40.96,41.1,40.77,41.1,180.8804
1.58685E+12,4/14/20 8:00,LTCUSD,40.96,40.96,40.63,40.96,248.96589
1.58685E+12,4/14/20 7:00,LTCUSD,41.34,41.49,40.93,40.96,298.06126
1.58684E+12,4/14/20 6:00,LTCUSD,41.52,41.56,41.34,41.34,5.39734
1.58684E+12,4/14/20 5:00,LTCUSD,41.51,41.63,41.51,41.52,5.11176
1.58684E+12,4/14/20 4:00,LTCUSD,41.54,41.73,41.51,41.51,969.78199
1.58683E+12,4/14/20 3:00,LTCUSD,41.51,41.65,41.32,41.54,651.8509384
1.58683E+12,4/14/20 2:00,LTCUSD,41.39,41.53,41.39,41.51,594.21769
1.58683E+12,4/14/20 1:00,LTCUSD,41.37,41.41,41.15,41.39,489.50733
1.58682E+12,4/14/20 0:00,LTCUSD,41.32,41.51,41.25,41.37,253.15331
1.58682E+12,4/13/20 23:00,LTCUSD,41.49,41.65,41.25,41.32,163.45153
1.58682E+12,4/13/20 22:00,LTCUSD,41.18,41.49,41.12,41.49,62.01796
1.58681E+12,4/13/20 21:00,LTCUSD,41.23,41.62,41.14,41.18,532.2716166
1.58681E+12,4/13/20 20:00,LTCUSD,40.7,41.25,40.7,41.23,443.54089
1.5868E+12,4/13/20 19:00,LTCUSD,40.43,40.97,40.43,40.7,1124.17174
1.5868E+12,4/13/20 18:00,LTCUSD,40.36,40.67,40.31,40.43,277.54158
1.5868E+12,4/13/20 17:00,LTCUSD,40.51,40.59,40.32,40.36,169.64734
1.58679E+12,4/13/20 16:00,LTCUSD,40.6,40.68,40.32,40.51,353.25583
1.58679E+12,4/13/20 15:00,LTCUSD,40.38,40.7,40.25,40.6,316.6221858
1.58679E+12,4/13/20 14:00,LTCUSD,40,40.76,39.97,40.38,1040.79131
1.58678E+12,4/13/20 13:00,LTCUSD,40.4,40.55,40,40,2547.703822
