created_at,sum_interaction_count,sum_weighted_sentiment,positive_count,negative_count,null_count,volume_tweets,overall_sentiment,modified,Date,Symbol,Volume,Only_date,VWAP
2020-04-01-17,27,46,5,4,30,39,1.7037037037037037,2020-04-01-19,2020-04-01-19,BTC.X,96.96245085,2020-04-01,6208.02
2020-03-25-00,285,490,24,12,0,36,1.719298245614035,2020-03-25-02,2020-03-25-02,ETH.X,1957.193213,2020-03-25,138.46833333333333
2020-04-17-06,9,12,3,3,10,16,1.3333333333333333,2020-04-17-08,2020-04-17-08,BTC.X,16.36692317,2020-04-17,7068.763333333333
2020-04-07-21,0,0,0,0,57,57,"",2020-04-07-23,2020-04-07-23,BCH.X,0.0,2020-04-07,241.38
2020-04-14-16,75,150,20,0,1,21,2.0,2020-04-14-18,2020-04-14-18,BTC.X,83.4190383,2020-04-14,6933.501666666667
2020-03-30-14,21,38,4,2,15,21,1.8095238095238095,2020-03-30-16,2020-03-30-16,BTC.X,121.7013574,2020-03-30,6370.805
2020-03-26-22,26,52,6,0,4,10,2.0,2020-03-27-00,2020-03-27-00,ETH.X,750.801714,2020-03-27,139.005
2020-03-27-08,12,24,6,0,0,6,2.0,2020-03-27-10,2020-03-27-10,LTC.X,5908.52575,2020-03-27,39.88833333333333
2020-04-10-21,0,0,0,0,44,44,"",2020-04-10-23,2020-04-10-23,ETH.X,274.1396763,2020-04-10,158.30666666666667
2020-04-13-21,165,321,42,4,33,79,1.9454545454545455,2020-04-13-23,2020-04-13-23,BTC.X,59.3207079,2020-04-13,6884.783333333333
2020-03-25-01,10,20,10,0,10,20,2.0,2020-03-25-03,2020-03-25-03,LTC.X,2539.945899,2020-03-25,39.73666666666667
2020-04-27-12,27,47,13,3,4,20,1.7407407407407407,2020-04-27-14,2020-04-27-14,BTC.X,131.5264243,2020-04-27,7691.781666666667
2020-03-27-18,27,54,17,0,0,17,2.0,2020-03-27-20,2020-03-27-20,ETH.X,246.5985229,2020-03-27,137.07666666666668
2020-04-14-19,48,96,8,0,7,15,2.0,2020-04-14-21,2020-04-14-21,ETH.X,151.604746,2020-04-14,159.29833333333332
2020-04-04-09,12,24,6,0,4,10,2.0,2020-04-04-11,2020-04-04-11,BTC.X,120.6085439,2020-04-04,6829.18
2020-04-18-12,4,8,1,0,1,2,2.0,2020-04-18-14,2020-04-18-14,BTC.X,71.96933742,2020-04-18,7255.435
2020-04-03-11,23,46,23,0,11,34,2.0,2020-04-03-13,2020-04-03-13,ETH.X,1231.989367,2020-04-03,144.45833333333334
2020-04-14-00,0,0,0,0,76,76,"",2020-04-14-02,2020-04-14-02,BCH.X,0.0,2020-04-14,241.0
2020-04-08-21,0,0,0,0,26,26,"",2020-04-08-23,2020-04-08-23,LTC.X,1028.82458,2020-04-08,46.801666666666655
2020-04-26-00,71,142,16,0,0,16,2.0,2020-04-26-02,2020-04-26-02,ETH.X,217.770053,2020-04-26,195.46
2020-03-27-14,125,250,58,0,5,63,2.0,2020-03-27-16,2020-03-27-16,ETH.X,481.117339,2020-03-27,136.30833333333337
2020-03-23-23,0,0,0,0,18,18,"",2020-03-24-01,2020-03-24-01,BTC.X,153.7397162,2020-03-24,6616.291666666667
2020-04-08-08,3,5,2,1,2,5,1.6666666666666667,2020-04-08-10,2020-04-08-10,BTC.X,104.0140566,2020-04-08,7300.558333333334
2020-03-29-10,0,0,0,0,6,6,"",2020-03-29-12,2020-03-29-12,ETH.X,81.571356,2020-03-29,128.95666666666668
2020-03-25-07,0,0,0,0,2,2,"",2020-03-25-09,2020-03-25-09,BTC.X,491.7379026,2020-03-25,6877.155
2020-04-14-18,12,21,2,2,2,6,1.75,2020-04-14-20,2020-04-14-20,BTC.X,73.11091481,2020-04-14,6908.901666666668
2020-04-17-07,0,0,0,0,10,10,"",2020-04-17-09,2020-04-17-09,ETH.X,85.049147,2020-04-17,171.54333333333332
2020-04-10-15,60,60,0,12,12,24,1.0,2020-04-10-17,2020-04-10-17,LTC.X,1149.292849,2020-04-10,42.15
2020-04-19-18,17,30,4,4,4,12,1.7647058823529411,2020-04-19-20,2020-04-19-20,ETH.X,226.1582044,2020-04-19,181.6483333333333
2020-04-12-11,23,46,23,0,48,71,2.0,2020-04-12-13,2020-04-12-13,ETH.X,379.8965336,2020-04-12,160.26833333333335
2020-03-29-18,93,182,36,4,4,44,1.956989247311828,2020-03-29-20,2020-03-29-20,ETH.X,586.4808752,2020-03-29,125.27833333333335
2020-04-10-06,0,0,0,0,41,41,"",2020-04-10-08,2020-04-10-08,BTC.X,85.18116622,2020-04-10,6935.338333333333
